collectionAssignmentId;collectorName;producerName;collectionDate;pointName;volumen
10001;John Smith;John Smith;4/6/2023;Washington, D.C.;563
10002;Lucas Wong;John Smith;4/6/2023;New York;35
10003;William Rodriguez;John Smith;4/6/2023;Indianapolis;413
10004;Samantha Lee;John Smith;4/6/2023;Atlanta;298
10005;Jane Doe;John Smith;4/6/2023;Atlanta;106
10006;Isabella Jackson;John Smith;4/6/2023;Los Angeles;184
10007;Robert Johnson;John Smith;4/6/2023;Denver;768
10008;Thomas Martinez;John Smith;4/6/2023;Seattle;129
10009;Ethan Wilson;John Smith;4/6/2023;Seattle;139
10010;Isabella Jackson;John Smith;4/6/2023;Washington, D.C.;449
10011;Sophia Nguyen;John Smith;4/6/2023;Miami;508
10012;Thomas Martinez;John Smith;4/6/2023;San Francisco;673
10013;Thomas Martinez;John Smith;4/6/2023;Orlando;941
10014;Benjamin Kim;John Smith;4/6/2023;Boston;802
10015;Samantha Lee;John Smith;4/6/2023;Kansas City;836
10016;Emily Chen;John Smith;4/6/2023;Seattle;651
10017;Samantha Lee;John Smith;4/6/2023;Houston;814
10018;John Smith;John Smith;4/6/2023;Los Angeles;137
10019;Michael Kim;John Smith;4/6/2023;Indianapolis;577
10020;Emily Chen;John Smith;4/6/2023;New York;177
10021;Sophia Nguyen;John Smith;4/6/2023;Washington, D.C.;687
10022;Sophia Nguyen;John Smith;4/6/2023;Washington, D.C.;603
10023;Michael Kim;John Smith;4/6/2023;New York;986
10024;Ethan Wilson;John Smith;4/6/2023;Orlando;569
10025;Olivia Davis;John Smith;4/6/2023;Chicago;561
10026;Lucas Wong;John Smith;4/6/2023;Seattle;699
10027;Benjamin Kim;John Smith;4/6/2023;Houston;831
10028;Lucas Wong;John Smith;4/6/2023;Washington, D.C.;408
10029;William Rodriguez;John Smith;4/6/2023;Los Angeles;278
10030;Ethan Wilson;John Smith;4/6/2023;Seattle;393
10031;Isabella Jackson;John Smith;4/6/2023;Seattle;685
10032;Emily Chen;John Smith;4/6/2023;Los Angeles;445
10033;Avery Brown;John Smith;4/6/2023;Kansas City;810
10034;Avery Brown;John Smith;4/6/2023;Washington, D.C.;513
10035;Jane Doe;John Smith;4/6/2023;Kansas City;232
10036;Sophia Nguyen;John Smith;4/6/2023;Denver;382
10037;Lucas Wong;John Smith;4/6/2023;New York;614
10038;Avery Brown;John Smith;4/6/2023;Philadelphia;348
10039;Jane Doe;John Smith;4/6/2023;Orlando;59
10040;Samantha Lee;John Smith;4/6/2023;Washington, D.C.;775
10041;Lucas Wong;John Smith;4/6/2023;New York;531
10042;Emily Chen;John Smith;4/6/2023;New York;334
10043;Robert Johnson;John Smith;4/6/2023;Boston;362
10044;Avery Brown;John Smith;4/6/2023;Chicago;418
10045;William Rodriguez;John Smith;4/6/2023;Indianapolis;969
10046;Jane Doe;John Smith;4/6/2023;Houston;4
10047;Jane Doe;John Smith;4/6/2023;Orlando;149
10048;Benjamin Kim;John Smith;4/6/2023;Seattle;8
10049;Jane Doe;John Smith;4/6/2023;New York;149
10050;Isabella Jackson;John Smith;4/6/2023;Miami;908
10051;Samantha Lee;John Smith;4/6/2023;Miami;134
10052;Emily Chen;John Smith;4/6/2023;Indianapolis;862
10053;Samantha Lee;John Smith;4/6/2023;Miami;480
10054;Sophia Nguyen;John Smith;4/6/2023;Washington, D.C.;169
10055;Olivia Davis;John Smith;4/6/2023;Philadelphia;520
10056;Robert Johnson;John Smith;4/6/2023;Houston;831
10057;Olivia Davis;John Smith;4/6/2023;Los Angeles;994
10058;Robert Johnson;John Smith;4/6/2023;Boston;177
10059;Olivia Davis;John Smith;4/6/2023;Los Angeles;918
10060;Robert Johnson;John Smith;4/6/2023;Kansas City;499
10061;Jane Doe;John Smith;4/6/2023;Los Angeles;122
10062;Thomas Martinez;John Smith;4/6/2023;Indianapolis;648
10063;Thomas Martinez;John Smith;4/6/2023;San Francisco;159
10064;Emily Chen;John Smith;4/6/2023;Chicago;966
